n_bins,strategy,min_freq,mse,compression_ratio,perplexity,entropy,consistency_score,vocab_size
30,uniform_fixed,200,0.009475170937434286,6.232558139534884,5.5250586962086485,2.4659897912514586,0.13522082844148556,78
30,uniform_fixed,300,0.009475170937434286,5.813934084272007,4.978480353654062,2.315705436908127,0.12588737332104566,73
50,quantile,30,0.0009842902285507986,2.4907953529937443,9.09487792255203,3.1850542732026783,0.3298668475361892,283
50,quantile,50,0.0009842902285507986,2.3176451022783966,8.449183468099275,3.078811925602687,0.27193021847316723,223
50,quantile,100,0.0009842902285507986,1.9573033707865168,6.658698291879606,2.7352401725818423,0.1356435837551606,158
50,quantile,200,0.0009842902285507986,1.6788338754366943,5.284724699308367,2.4018283182895965,0.04276110623728987,114
50,quantile,300,0.0009842902285507986,1.6351050099730142,5.079257379003342,2.344617580866256,0.03313656978492082,109
50,gaussian,30,0.00047985507560697246,2.6805154837468743,9.01560505591226,3.172424317156451,0.3022948728096745,282
50,gaussian,50,0.00047985507560697246,2.4207052284175785,8.082832888545477,3.014861020447741,0.27925328328090265,217
50,gaussian,100,0.00047985507560697246,2.0147462772878417,6.263001510860555,2.646854226972504,0.14548993654914988,144
50,gaussian,200,0.00047985507560697246,1.8214612468958307,5.414612021795351,2.4368579667745225,0.0843645377944496,115
50,gaussian,300,0.00047985507560697246,1.7028347996089932,4.897730499903652,2.292113391062067,0.06899498876472865,105
50,uniform_fixed,30,0.003360001550494372,5.93526405451448,9.163320130475991,3.1958704223291274,0.2076971570140587,204
50,uniform_fixed,50,0.003360001550494372,5.254901960784314,8.103160171365426,3.0184846579258995,0.14593824695860794,158
50,uniform_fixed,100,0.003360001550494372,4.640692640692641,6.816607888839211,2.769053997404754,0.12382246016710483,131
50,uniform_fixed,200,0.003360001550494372,4.01498127340824,5.44157045072977,2.4440230769365883,0.09046809450309988,108
50,uniform_fixed,300,0.003360001550494372,3.841234840132304,5.090360409230256,2.347767806045871,0.07245454607387408,98
100,quantile,30,0.000227352618117642,1.7040841281486916,10.114381573313901,3.3383362063417694,0.3303796451762439,372
100,quantile,50,0.000227352618117642,1.593960882992108,9.303299115587887,3.2177424123148173,0.2804470598326231,295
100,quantile,100,0.000227352618117642,1.4095276625872357,7.810906091665845,2.9654899156053265,0.10583942147828114,214
100,quantile,200,0.000227352618117642,1.1638550192082846,5.729925497943697,2.5185163807891735,0.05524737195984118,148
100,quantile,300,0.000227352618117642,1.0481347773766547,4.892442895035683,2.2905550117044795,0.013066641549697815,120
100,gaussian,30,0.0001248913706268103,1.7866666666666666,9.902418165474906,3.3077808736101915,0.349636653189052,362
100,gaussian,50,0.0001248913706268103,1.6693818878773359,9.108863480181979,3.1872710590996247,0.3039400750121253,292
100,gaussian,100,0.0001248913706268103,1.3966726798957707,6.96339571446229,2.7997910109190887,0.10473453023870562,199
100,gaussian,200,0.0001248913706268103,1.259466787166742,5.951091007746661,2.5731541805512865,0.0879855379839109,151
100,gaussian,300,0.0001248913706268103,1.1195372750642674,4.959329186985294,2.3101449907615503,0.06444358404652553,119
100,uniform_fixed,30,0.0008326313190305633,3.4452410383189123,8.769041504441976,3.132419158250446,0.2330046984666081,314
100,uniform_fixed,50,0.0008326313190305633,3.124663677130045,7.9987185736090805,2.9997688930529165,0.17132428856100393,255
100,uniform_fixed,100,0.0008326313190305633,2.6877531340405016,6.5084628364430115,2.702316849058735,0.10902860966608931,193
100,uniform_fixed,200,0.0008326313190305633,2.408572416176979,5.52484744792488,2.465934629361855,0.0886585106515134,164
100,uniform_fixed,300,0.0008326313190305633,2.301568951279934,5.142457904215557,2.3624580790024154,0.07594543900442693,151
10,gaussian,290,0.15954251087028304,6.294489611562782,5.2535334948639845,2.393288097211717,0.11318056954084946,46
10,gaussian,300,0.15954251087028304,6.294489611562782,5.2535334948639845,2.393288097211717,0.11318056954084946,46
10,gaussian,310,0.15954251087028304,5.828523630280218,4.672571775000945,2.224216825263662,0.0894772401994869,45
20,gaussian,290,0.006358165548114674,3.2637002341920374,4.548032873912783,2.185242682299541,0.06948526869752891,65
20,gaussian,310,0.006358165548114674,3.2637002341920374,4.548032873912783,2.185242682299541,0.06948526869752891,65
30,gaussian,290,0.0012989739386001118,2.4207052284175785,5.005471524252681,2.323505979882224,0.07644500430153585,85
30,gaussian,310,0.0012989739386001118,2.3656425055168904,4.845735115147244,2.2767155441809095,0.0667560656465797,82
